"Player" "Pos" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17"
"Antonio Callaway" "WR" 4.39 4.32 6.27 6.42 6.8 6.97 6.24 4.35 4.16 5.27 NA 4.78 5.17 6.02 5 4.59 4.13
"Antonio Gates" "TE" 3.05 2.44 2.54 3.09 3.78 2.57 2.46 NA 1.77 2.81 3 3.01 2.68 3.03 3.15 2.34 2.34
"Antony Auclair" "TE" 0.62 0.53 0.66 0.69 NA 1.05 0.45 0.37 0.29 0.21 0.31 0.64 0.29 0.31 0.31 0.33 0.27
"Auden Tate" "WR" NA NA NA NA NA NA NA NA NA NA -0.06 0.28 0 -0.05 -0.05 -0.05 -0.05
"Austin Carr" "WR" 4.3 4.06 2.13 2.18 1.24 NA 3.75 1.56 1.36 1.24 1.18 4.34 1.31 1.34 0 0.51 0.59
"Austin Ekeler" "RB" 5.93 5.43 5.26 6.53 7.42 6.56 12.89 NA 8.42 6.62 6.94 5.09 12.66 10.78 0 3.22 6.67
"Austin Hooper" "TE" 3.37 4.61 3.39 3.94 4.21 6.12 8.2 NA 6.82 4.49 6.09 6.95 4.44 6.79 6.15 6.14 6.32
"Baker Mayfield" "QB" 2.19 1.78 0.88 18.36 13.22 17.36 17.72 16.12 18.32 18.02 NA 17.2 17.81 18.31 16.84 17.8 14.81
"Ben Braunecker" "TE" 0.59 0.59 0.42 0.61 NA 0.48 0.32 0.3 0.17 0.15 0.44 0.49 0.35 0.21 0.09 0.08 0.15
"Ben Koyack" "TE" NA NA NA NA NA NA NA NA NA NA NA 1.42 2.21 1.73 1.69 0.44 0.47
"Ben Roethlisberger" "QB" 16.58 18.92 21.35 19.29 22.82 20.06 NA 19.65 17.14 20.97 20.69 20.6 19.55 22.37 21.46 21.04 23.62
"Benjamin Watson" "TE" 4.43 5.18 4.84 5.88 5.16 NA 4.51 5.02 5.08 5.54 5.27 5.24 2.75 2.4 2.44 3.13 3.34
"Bennie Fowler" "WR" NA 0 NA NA NA NA 1.99 0.84 NA 0.43 0.46 0.49 0.74 2.25 2.5 3.83 2.78
"Benny Cunningham" "RB" 1.06 1.03 1.2 0.52 NA 0.48 0.61 0.46 0.3 0.32 0.3 0.31 0 0.17 0.16 0.13 0.27
"Blaine Gabbert" "QB" 0.4 15.24 9.72 0 0.34 0.69 0.48 NA 0.51 0.53 0.39 0.61 0.77 0.69 0.69 0.77 0.77
"Blake Bell" "TE" NA NA NA NA NA NA 1.05 2.21 NA 2.65 1.69 1.63 1.68 1.55 1.09 0.27 0.25
"Blake Bortles" "QB" 14.58 16.97 17.51 16.2 19.98 18.66 17.1 14.78 NA 15.87 15.61 11.87 1.09 1.05 1.08 0.99 0.83
"Blake Jarwin" "TE" 4.51 3.15 1.56 1.74 1.59 1.25 1.24 NA 1.79 1.93 1.22 1.62 0.76 1.21 3.41 4.59 3.96
"Bobo Wilson" "WR" NA NA NA NA NA NA NA NA NA NA NA NA 0.79 1.17 0.55 0.5 0.22
"Boston Scott" "RB" NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0.43 0.48
"Brandin Cooks" "WR" 8.64 9.77 9.96 10.84 12.13 10.51 12.47 12.4 12.71 12.59 11.84 NA 12.42 9 11.68 10.24 13.66
"Brandon Bolden" "RB" 0.54 0.52 0.52 0.43 0.58 0.37 0.61 0.52 0.44 0.57 NA 0.62 0.4 0.26 0.2 0.23 0.2
"Brandon Powell" "WR" NA NA NA NA NA NA NA NA 2.19 0.57 0 0 0 0 2.02 0.73 0.19
"Brandon Weeden" "QB" 0.77 0.73 0.94 0.82 0.88 0.8 0.73 0.77 0.68 NA 0.69 0.72 0.61 0.71 0.67 0.68 0.69
"Brandon Zylstra" "WR" NA NA NA NA NA 0.52 0.59 0.81 0.62 NA 1.21 0.61 0.6 0.53 0.57 0.41 0.41
"Breshad Perriman" "WR" NA NA 0 NA NA 0 1.07 0.55 0.41 3.97 NA 2.01 1.02 1.94 2.82 3.78 3.53
"Brett Hundley" "QB" 0.64 0.62 1.01 0.88 1.04 1.1 NA 0.91 0.61 0.64 0.69 0.65 0.67 0.59 0.64 0.67 0.71
"Brian Hill" "RB" NA 0.51 1.51 0.94 0 0 0 NA 0 0.43 0.43 0.62 0 0.62 0.38 0.19 0.19
"Brian Hoyer" "QB" 0.78 0.58 0.73 0.99 0.99 0.98 0.67 0.69 0.65 0.62 NA 0.36 0.33 0.38 0.38 0.35 0.45
"Brian Parker" "TE" NA NA NA NA 0.45 0.4 0.37 0.33 0.14 NA 0.13 0.09 0.11 0.11 0.13 0.11 0.14
"Brian Quick" "WR" NA 0.81 0.77 NA 0.67 1.73 3.41 0 0 0.35 0.35 0.41 0.33 0.31 0.16 0.2 0.2
"Brice Butler" "WR" NA NA NA 0.81 0.87 0 1.91 NA NA NA NA -0.06 -0.03 0.91 0.43 0.55 0.51
"Brock Osweiler" "QB" 0 0 0 0 0 11.9 14.25 14.66 14.29 14.08 NA 0.82 0.71 0.76 0.68 0.7 0.68
"Bruce Ellington" "WR" 3.18 2.71 3.1 0 0 0 0 0 0 NA 3.17 5.78 4.51 5.82 0 2.94 5.37
"Buddy Howell" "RB" NA NA NA 1.39 1.62 0.41 0.34 0.72 0.53 NA 0.76 1.08 0.81 0.99 0.61 0.52 0.46
"Byron Marshall" "WR" 0 0 0 NA 0 0 NA NA NA NA 0.52 -0.03 0 -0.06 0.09 0.29 0.33
"C.J. Beathard" "QB" 0.67 0.9 0.86 14.05 12.92 14.14 15.46 11.84 0.81 0.92 NA 0.84 0.68 0.52 0.6 0.44 0.66
"C.J. Ham" "RB" 0.53 0.6 0.55 0.48 0.45 0.41 0.61 0.62 0.4 NA 0.2 0.17 0.28 0.17 0.17 0.19 0.19
"C.J. Uzomah" "TE" 0.5 0.33 0.36 0.56 3.49 4.03 5.74 5.35 NA 5.3 5.44 3.65 3.7 4.2 4.61 4.58 4.76
"Calvin Ridley" "WR" 4.15 4.23 3.09 6.83 7.75 8.17 6.86 NA 7.99 7.59 8.52 7.8 6.92 6.77 7.14 7.49 7.73
"Cam Newton" "QB" 19.87 18.22 20.18 NA 23.25 20.43 18.19 19.66 25.72 21.17 23.76 22.22 25.79 20.36 23.5 23.21 20.74
"Cameron Artis-Payne" "RB" 0 2 1.25 NA 0 0 0 0 0 0 1.53 0.71 0.21 0.2 0.74 1.24 0.7
"Cameron Batson" "WR" NA NA NA NA NA NA 0.6 NA 0.26 0.4 3.58 2.93 2.99 1.72 1.75 1.65 1.83
"Cameron Brate" "TE" 4.81 2.42 2.43 3.89 NA 4.41 3.62 3.64 2.12 3.27 2.44 5.32 5.86 6.21 5.9 4.69 4.59
"Carlos Hyde" "RB" 8.59 10.03 11.24 11.7 10.39 12.06 0 8.16 NA 2.46 1.35 1.59 9.08 1.92 0 0.8 0.65
"Case Keenum" "QB" 12.53 17.08 12.85 17.84 15.61 16.86 16.94 19.49 18.34 NA 16.75 16.19 17.98 17.63 14.04 17.59 15.44
"Chad Beebe" "WR" NA NA NA NA NA NA NA NA NA NA 1.76 0 0 0 0 0.88 0.98
"Chad Henne" "QB" 0.46 0.54 0.58 0.35 0.47 0.42 0.49 0.72 0.55 0.65 0.63 NA 0.58 0.54 0.72 0.59 0.62
"Chad Williams" "WR" 1.73 1.88 1.94 0.78 3.86 3.11 2.38 1.81 NA 0 0 0 0 0 0 0.01 0.61
"Charcandrick West" "RB" NA NA NA NA NA NA NA NA NA NA NA NA NA 0 5.24 0.79 0.63
"Charles Clay" "TE" 4.25 4.32 4.02 4.18 4.51 4.77 4.37 4.35 2.96 0 NA 0 2.61 2.19 0.86 0.99 0.95
"Charone Peake" "WR" 0.6 0.67 0.73 0 0 0 1.39 0.84 2.35 0.92 NA 1.01 0.52 0.35 0.43 1.04 0.52
"Chase Daniel" "QB" 0.75 0.76 0.79 0.91 NA 0.77 0.81 0.68 0.6 0.67 0.58 14.79 14.59 0.55 0.59 0.57 0.38
"Chase Edmonds" "RB" 4.47 3.93 4.04 3.81 4.03 1.22 1.13 1.28 NA 0.61 0.7 1.03 2.13 3.78 2.91 3.25 2.71
"Chester Rogers" "WR" 3.47 2.78 2.6 2.78 6.73 7.4 7.35 7.08 NA 4 3.01 2.71 2.94 2.99 3.5 2.56 2.18
"Chris Carson" "RB" 7.79 7.98 6 0 7.35 11.48 NA 10.02 11.73 0 10.42 11.13 11.51 10.42 11.86 13.34 12.85
"Chris Conley" "WR" 2.15 2.51 3.21 3.54 4.03 2.15 2.3 2.03 2.58 3.5 2.56 NA 6.44 6.32 4.72 4.71 4.33
"Chris Godwin" "WR" 4.36 5.11 4.49 5.58 NA 6.1 6.08 6.59 5.94 5.51 6.55 6.15 7.99 8.66 8.1 5.48 6.8
"Chris Herndon" "TE" NA NA 2.91 0.95 0.93 1.12 2.78 3.07 4.21 2.29 NA 4.01 5.9 4.33 4.86 5.06 4.34
"Chris Hogan" "WR" 10.52 9.55 8.48 5.93 4.64 4.85 5 4.2 6.04 3.71 NA 2.97 3.5 3.49 4.41 3.09 3.19
"Chris Ivory" "RB" 4.03 4.69 6.79 5.6 5.61 4.79 4.77 5.29 4.05 0 NA 4.05 4.16 5.41 0 2.78 5.2
"Chris Manhertz" "TE" 0.37 0.39 2.96 NA 1.25 0.52 0.15 0.14 0.16 0.15 0.19 0.08 0 0 0 0.73 0.57
"Chris Moore" "WR" 0.29 0.39 0.49 0.45 0.66 0.5 0.43 0.49 0.32 NA 0.42 0.36 0.41 0.51 0.6 0.47 0.49
"Chris Thompson" "RB" 6.44 9.95 8.98 NA 8.8 0 0 6.68 0 0 0 0 6.33 5.9 4.22 3.07 3.34
"Christian McCaffrey" "RB" 14.11 12.35 13.11 NA 15.54 14.75 13.01 13.5 15.65 14.3 18.55 17.66 18.9 17.74 18.78 21.93 19.44
"Clive Walford" "TE" NA NA NA NA NA NA NA NA NA NA NA NA 0 1.03 1.07 1.3 0.66
"Cody Core" "WR" 0 0 0.39 0.58 1.51 1.35 0.07 0.75 NA 1.39 2.41 2.37 0.63 0.92 1.72 2.15 1.98
"Cody Kessler" "QB" 0.46 0.59 0.55 0.54 0.88 0.79 0.8 0.38 NA 0.22 0.24 0.25 15.18 12.94 11.11 12.37 11.81
"Cole Beasley" "WR" 2.6 4.49 4.38 4.44 4.5 4.5 5.8 NA 5.84 4.29 5.19 4.24 5.04 3.87 3.1 3.58 3.2
"Cole Wick" "TE" 0.46 0.59 0.55 0.49 0.45 0 0.43 NA NA NA NA NA NA NA NA 0 0
"Cooper Rush" "QB" 0.68 0.73 0.65 0.82 0.79 0.79 0.66 NA 0.71 0.7 0.69 0.72 0.81 0.75 0.73 0.73 0.72
"Cordarrelle Patterson" "WR" 1.95 1.36 0.91 0.31 1.97 2.85 3.34 3.34 5.08 4.87 NA 1.85 1.75 2.64 2.08 3.28 2.91
"Corey Coleman" "WR" NA 0 NA NA NA NA NA 1.87 NA 2.82 1.9 2.48 1.32 2.2 2.47 1.51 0.7
"Corey Davis" "WR" 7.61 8.25 8.03 8.35 9.16 8.49 6.97 NA 6.25 7.64 10.42 8.49 8.48 8.55 9.02 8.98 9.12
"Courtland Sutton" "WR" 3.08 4.48 2.41 4.06 4.99 4.7 4.69 3.73 7.26 NA 5.84 5.66 5.82 9.55 7.01 7.02 7.12
"Curtis Samuel" "WR" 0 0 0 NA 1.68 2.52 0.94 2.99 5.35 5.14 4.28 5.56 4.82 4.51 6.57 5.61 5.04
"D'Onta Foreman" "RB" 0 0 0 0 0 0 0 0 0 NA 0 1.45 0.54 0 0 2.89 3.16
"D.J. Chark" "WR" 1.58 1.44 0.62 0.56 0.61 1.52 1.28 0.84 NA 1.42 1.28 0 0 0 0 0.53 1.61
"DaeSean Hamilton" "WR" NA NA NA 0.55 0.57 0.65 0.57 0 0 NA 0.35 0.14 0.16 3.58 6.13 6.99 6.45
"Dak Prescott" "QB" 15.04 15.59 13.81 17.43 17.57 14.58 17.95 NA 18.59 15.86 18.53 17.81 18.63 18.31 17.7 18.76 17.06
"Dallas Goedert" "TE" 2.47 3.02 3.15 3.45 2.64 2.93 2.77 1.8 NA 2.41 2.59 2.54 2.42 1.58 3.71 3.46 3.09
"Dalton Schultz" "TE" NA NA NA NA NA NA NA NA 0.47 0.5 0.37 0.78 0.44 0.55 1.01 0.63 0.3
"Dalvin Cook" "RB" 13.38 12.7 0 8.07 0 0 0 0 4.12 NA 10.25 11.52 10.93 10.68 11.67 14.42 11.51
"Damien Williams" "RB" 0.33 0.4 0.35 0.32 0.27 0.28 0.37 0.34 0.28 0.27 0.27 NA 4.37 3.19 10.77 8.67 6.65
"Damion Ratley" "WR" NA NA NA NA NA NA 4.01 2.9 2.35 0.89 NA 0.33 0.41 0.48 0.4 0.37 0.37
"Dan Arnold" "TE" NA NA NA NA NA NA NA 0.4 0.6 0.46 0.49 0.59 1.7 0 2.69 1.84 2.59
"Dan Vitale" "RB" 0 0 NA NA NA NA NA NA NA NA NA NA NA NA 0.53 0.69 0.7
"Daniel Brown" "TE" 0 0.58 0.49 0.63 NA 0.49 0.61 0.51 0.51 0.57 0.53 0.5 0.45 0.58 0.52 0.42 0.4
"Danny Amendola" "WR" 5.16 4.27 4.64 5.39 4.95 4.26 5.12 6 5.16 4.41 NA 5.57 0 1.79 3.66 3.8 4.5
"Dante Pettis" "WR" NA 5.99 4.74 2.39 0 0 0 3.39 3.07 4.06 NA 4.77 6.44 7.79 7.15 7.09 7.49
"Dare Ogunbowale" "RB" NA NA NA NA NA NA NA NA NA NA NA 1.18 1.2 0.58 0.35 0.36 0.79
"Darius Jennings" "WR" 0.65 0.7 0.45 0.48 0.5 0.45 0.41 NA 0.19 0.48 0.83 0.85 0.83 0.36 0.34 0.45 0.36
"Darrel Williams" "RB" NA NA NA NA NA NA NA NA NA NA NA NA NA 0.53 2.45 2.12 1.6
"Darrell Daniels" "TE" 0.27 0.21 2.87 0 NA 2.42 NA 0.82 0.61 0.5 0.46 0.46 0.37 0.24 0.14 0.01 0.01
"Darren Fells" "TE" 1.48 1.33 2.14 2.99 2.29 3.17 2.55 2.01 2.69 2.78 NA 2.38 2.34 2.79 2.54 2.97 2.72
"Darren Sproles" "RB" 3.72 0 0 0 0 0 0 0 NA 0 0 0 4.3 3.87 5.7 4.77 5.41
"Darren Waller" "TE" NA NA NA NA NA NA NA NA NA NA NA NA 0 0.46 0.53 0.86 0.8
"Darrius Heyward-Bey" "WR" 1.62 1.51 0.77 2.12 0 0 NA 0.36 0.59 0.76 0.22 0.18 0.15 0.23 0.2 0.23 0.18
"Davante Adams" "WR" 9.99 9.71 11.35 11.85 13.1 12.33 NA 12.43 10.76 13.99 11.46 12.6 12.88 15.77 12.78 12.52 14.82
"David Fales" "QB" 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0 0 0
"David Fluellen" "RB" 0.97 0.91 0 0 1.01 1.39 1.55 NA 0.19 0.27 0 0 0 0 0 0.09 0.18
"David Johnson" "RB" 18.44 14.9 11.35 10.72 14.08 10.57 10.87 12.74 NA 12.77 14.75 13.97 12.23 12.98 13.36 11.33 10.35
"David Moore" "WR" NA 0.63 1.67 1.31 0.48 3.76 NA 3.3 2.65 4.04 3.19 3.04 5.73 7.11 5.7 3.22 3.46
"David Morgan" "TE" 1.36 1.27 0 1.77 1.74 1.53 1.55 1.47 1.24 NA 0 0 0 0 0.97 0.87 1.19
"David Njoku" "TE" 4.12 5.14 4.43 5.89 5.83 6.44 7.19 7.31 7.54 7.31 NA 5.74 6.71 6.43 6.07 5.17 4.94
"David Williams" "RB" NA NA NA NA NA NA NA 0.57 NA 0 0 0 0.26 0 0.1 4.11 2.94
"De'Lance Turner" "RB" NA NA NA NA 0.94 1.37 1.4 1.19 0.87 NA 0.6 0.44 0.64 0.53 0.53 0.48 0.53
"DeAndre Carter" "WR" NA 0.81 0 0.76 0.78 0.66 0.43 0.32 NA 0 0.43 0.18 0.7 0.4 0.13 3.62 2.52
"DeAndre Hopkins" "WR" 14.98 12.4 13.01 14.53 15.31 14.46 11.41 15.01 12.6 NA 12.56 13.3 13.49 15.84 12.61 13.07 13.71
"DeAndre Washington" "RB" 0 0 0 0 0 0 NA 1.06 0.1 0.48 0.38 2.58 0.96 1.53 0.73 0.85 0.77
"Dede Westbrook" "WR" 4.79 4.34 4.82 4.5 6.16 6.09 6.42 5.6 NA 6.45 4.77 4.22 6.67 5.56 7.74 6.94 5.33
"Demarcus Robinson" "WR" 0.47 0.39 0.38 0.39 1.03 0.29 0.29 0.54 0.75 1.7 0.39 NA 0.37 0.86 0.37 1.71 1.26
"Demaryius Thomas" "WR" 8.73 9.74 8.51 8.78 7.92 8.7 7.66 9.38 8.28 NA 5.62 5.61 5.81 6.57 5.74 5.82 5.76
"Demetrius Harris" "TE" 0 1.86 2.97 1.95 2.81 1.97 2.23 3.79 3.25 3.29 3.01 NA 2.71 2.78 3.58 2.23 1.99
"Deontay Burnett" "WR" NA NA NA NA NA NA NA 0.98 0.55 0 NA 0 0.36 0 0 0.4 0.5
"Deonte Thompson" "WR" 1.87 2.28 3.68 3.49 3.36 2.71 1.07 NA 0.99 0 NA 0.43 0.27 0.34 0.36 0.33 0.38
"Derek Anderson" "QB" NA NA NA NA NA 0 14.11 8.79 0 0 NA 0 0 0 0 0 0
"Derek Carr" "QB" 14.26 11.98 13.33 15.92 14.83 15.77 NA 15.57 16.38 17.31 13.44 11.99 15.78 14.96 16.62 15.75 16.64
"Derek Carrier" "TE" 1.01 1.18 1.37 1.6 1.24 1.09 NA 0.81 0.95 0.94 0.39 0.46 0.49 0.59 1.22 0.95 0.96
"Derek Watt" "RB" 0.75 0.72 0.74 0.91 1.04 0.56 1.94 NA 0.35 0.42 0.23 0.23 0.16 0.23 0.23 0.23 0.21
"Derrick Coleman" "RB" NA 0.28 0.18 0.24 0.2 0.2 0.23 0.21 NA 0.24 0.22 0.24 0.16 0.17 0.17 0.19 0.16
"Derrick Henry" "RB" 9.4 9.16 8.99 8.74 10.03 7.21 7.6 NA 5.89 5.65 6.23 5.2 6.24 5.94 8.95 13.98 12.85
"DeSean Jackson" "WR" 5.87 6.54 6.97 6.04 NA 7.25 6.61 6.64 7.53 6.05 7.6 7.72 0 0 0 3.81 6.07
"Deshaun Watson" "QB" 19.16 18.95 19.66 22.18 23.21 20.62 18.15 21.47 19.24 NA 18.54 19.86 18.83 21.92 19.72 19.35 18.09
"DeShone Kizer" "QB" 0.98 1.39 0.77 0.96 0.72 0.6 NA 0.15 0.17 0.2 0.15 0.15 0.19 0.2 0.15 0.18 0.2
"Detrez Newsome" "RB" NA NA 0.49 NA NA NA 1.17 NA 0 0.12 0 0.07 0.8 1.1 3.07 1.67 1.54
"DeVante Parker" "WR" 0 0 5.34 0 0 3.97 0 4.72 5.15 6.31 NA 3.95 5.1 6.56 6.22 2.22 3.12
"Devin Funchess" "WR" 7.9 7.73 8.26 NA 9.53 7.95 7.44 8.4 9.23 8.73 8.34 0 4.78 5.48 4.34 3.93 3.33
"Devontae Booker" "RB" 5.35 5.6 1.92 2.25 1.58 3.08 2.88 4.87 5.59 NA 1.89 1.4 1.51 2 1.51 1.9 2.13
"Dion Lewis" "RB" 6.85 8.04 8.89 8.45 8.28 8.42 7.42 NA 6.12 9.72 10.05 8.02 9 7.09 7.3 5.95 6.56
"Dion Sims" "TE" 2.15 2.48 1.06 2.06 NA 1.29 1.05 1.03 0.27 0 0 0.37 0.35 0.21 0.14 0.15 0.14
"DJ Moore" "WR" 5.19 4.31 3.41 NA 3.25 5.88 4.94 4.24 7.5 6.39 5.25 8.52 6.68 6.42 8 6.58 5.99
"Donte Moncrief" "WR" 4.45 4.17 6.04 5.71 5.69 6.78 5.55 5.52 NA 6.11 5.86 5.25 5.78 5.22 4.95 5.82 4.98
"Dontrell Hilliard" "RB" NA NA NA NA NA NA 0.58 0.58 0.33 0.23 NA 0.22 0.24 0.45 0.43 0.44 0.4
"Dontrelle Inman" "WR" NA NA NA NA NA NA 0.94 1.46 NA 2.05 2.94 3.89 3.8 0 4.18 4.52 4.48
"Doug Baldwin" "WR" 9.27 0 0 7.83 9.06 9.08 NA 7.45 7.96 8.07 7.32 8.24 7.81 0 7.09 7.74 7.78
"Doug Martin" "RB" 4.94 3.81 5.43 4.49 4.94 3.26 NA 6.55 7.26 8.17 7.77 7.18 10.1 10.04 10.84 9.53 9.8
"Drew Brees" "QB" 24.06 23.92 19.97 22.68 21.26 NA 19.45 22.63 23.12 22.13 21.6 25.66 23.25 24.67 23.73 24.1 24.12
"Drew Stanton" "QB" 0 0 0 0.96 0 0 0 0 0 0 NA 0 0 0 0 0 0
"Duke Johnson Jr." "RB" 7.5 6.42 4.67 6.12 4.55 4.83 8.44 5.21 6.04 6.84 NA 6.44 4.96 4.52 4.04 5.44 3.14
"Durham Smythe" "TE" NA NA NA NA 0.49 0.48 0.48 0.3 0.18 0 NA 0.15 0.28 0.29 0.22 0.17 0.2
"Dwayne Allen" "TE" 1.99 0.72 1.19 1.49 1.17 0.79 0.83 0.52 1.36 1.81 NA 0 0 0 0.68 0.33 0.75
"Dwayne Harris" "WR" 0.62 0 0.65 0.4 0.38 0.44 NA 0.38 0.14 0.32 0.13 0.15 0.12 0.08 0.06 0.08 0.06
"Dwayne Washington" "RB" NA NA NA 1.2 0.36 NA 0.23 0.18 0.09 0.09 0.5 0.28 0.19 0.17 0.19 0.16 0.16
"Ed Dickson" "TE" 0 0 0 0 0 0 NA 1.7 3.03 2.91 2.64 2.9 2.95 2.5 2.42 2.28 1.45
"Eli Manning" "QB" 10.9 15.42 15.64 18.07 13.7 14.69 18.5 16.16 NA 16.04 17.77 15.77 16.63 16.21 16.38 16.75 16.43
"Eli Rogers" "WR" 0 0 0 0 0 0.5 NA 0.52 0.59 0.76 0.63 0.72 0.77 0.88 0.74 0.68 0.69
"Elijah McGuire" "RB" 0 0 0 0 0 0 0 1.99 4.65 6.1 NA 5.86 6.6 4.98 9.22 10.19 9.67
"Elijhaa Penny" "RB" NA NA 0.55 0.7 0.66 0.42 0.62 0.29 NA 0.3 2.06 0.32 0.32 0.32 0.46 0.42 0.42
"Equanimeous St. Brown" "WR" NA NA NA NA NA 4.34 NA 3.22 2.65 7.45 3.89 3.2 2.33 1.73 1.21 2.8 1.49
"Eric Ebron" "TE" 3.51 4.24 6.21 5.46 6.17 7.82 7.56 8.54 NA 5.08 7.59 6.75 8.6 9.07 8.93 8.34 7.8
"Eric Saubert" "TE" 0.97 1 2.17 1.91 1.81 1.81 1.27 NA 0.5 0.6 0.78 0.6 0.33 0.66 0.96 0.9 0.94
"Eric Tomlinson" "TE" 0.5 1.12 1.81 1.38 2.32 2.27 1.94 1.37 1.43 1.34 NA 0.86 1.01 1.09 0.56 0.77 0.95
"Evan Engram" "TE" 6.06 6.56 7.25 0 0 0 6.33 7.09 NA 6.38 6.83 6 0 6.26 6.36 6.88 6.92
"Ezekiel Elliott" "RB" 14.51 16.97 17.57 17.93 17.41 16.29 17.84 NA 16.1 14.88 19.98 17.24 17.62 17.51 19.17 20.95 17.72
"Garrett Celek" "TE" 1.77 2.57 1.97 4 2.14 3.39 2.58 1.53 2.88 2.2 NA 2.42 1.46 1.48 1.11 2.15 2.22
